,MAE,RMSE,MAPE,R,Type,Time
TNTS-SAN-F2W_RLAP_MMPD.h5,9.466±0.445,14.813±4.317,10.621±0.456,0.56869,Whole,2024-10-30 21:59:33
TNTS-SAN-F2W_RLAP_MMPD.h5,11.66±0.194,20.177±3.262,14.111±0.246,0.42307,Window,2024-10-30 23:34:14
TNTS-SAN-F2W_RLAP_MMPD.h5,6.852±0.321,10.712±3.127,8.362±0.414,0.71377,Whole,2024-10-30 23:34:14
TNTS-SAN-F2W_RLAP_COHFACE.h5,3.275±0.206,9.382±3.188,4.571±0.292,0.71455,Window,2024-10-30 23:34:26
TNTS-SAN-F2W_RLAP_COHFACE.h5,2.307±0.451,6.225±4.219,3.165±0.605,0.84477,Whole,2024-10-30 23:34:26
TNTS-SAN-F2W_RLAP_PURE.h5,0.454±0.051,1.482±0.855,0.684±0.081,0.99792,Window,2024-10-30 23:34:31
TNTS-SAN-F2W_RLAP_PURE.h5,0.244±0.069,0.583±0.446,0.36±0.118,0.9997,Whole,2024-10-30 23:34:31
TNTS-SAN-F2W_RLAP_UBFC.h5,1.224±0.09,2.382±1.096,1.253±0.096,0.99012,Window,2024-10-30 23:34:35
TNTS-SAN-F2W_RLAP_UBFC.h5,0.465±0.082,0.705±0.422,0.457±0.075,0.99922,Whole,2024-10-30 23:34:35
PhysNet16_RLAP_PURE.h5,21.971±0.848,32.096±8.012,31.176±1.271,-0.07632,Window,2024-11-01 04:16:29
PhysNet16_RLAP_PURE.h5,18.416±2.485,26.522±13.195,26.273±3.283,-0.18771,Whole,2024-11-01 04:16:29
PhysNet16_RLAP_PURE.h5,21.971±0.848,32.096±8.012,31.176±1.271,-0.07632,Window,2024-11-01 04:16:43
PhysNet16_RLAP_PURE.h5,18.416±2.485,26.522±13.195,26.273±3.283,-0.18771,Whole,2024-11-01 04:16:43
PhysNet16_RLAP_PURE.h5,11.715±0.72,23.063±7.014,14.025±0.755,0.34832,Window,2024-11-01 04:19:55
PhysNet16_RLAP_PURE.h5,10.278±2.289,20.369±11.975,11.966±2.096,0.51899,Whole,2024-11-01 04:19:55
PhysNet16_RLAP_PURE.h5,11.715±0.72,23.063±7.014,14.025±0.755,0.34832,Window,2024-11-01 04:20:16
PhysNet16_RLAP_PURE.h5,10.278±2.289,20.369±11.975,11.966±2.096,0.51899,Whole,2024-11-01 04:20:16
PhysNet16_RLAP_PURE.h5,13.259±0.772,25.096±7.388,16.235±0.838,0.16953,Window,2024-11-01 04:23:28
PhysNet16_RLAP_PURE.h5,12.407±2.441,22.482±12.936,14.933±2.132,0.30698,Whole,2024-11-01 04:23:28
PhysNet16TN_RLAP_PURE.h5,0.458±0.054,1.56±0.885,0.697±0.088,0.9977,Window,2024-11-01 04:26:50
PhysNet16TN_RLAP_PURE.h5,0.261±0.083,0.686±0.596,0.403±0.153,0.99959,Whole,2024-11-01 04:26:50
PhysNet8_RLAP_PURE.h5,37.48±0.977,46.179±8.231,62.125±1.918,0.31643,Window,2024-11-01 04:46:32
PhysNet8_RLAP_PURE.h5,37.206±2.797,42.963±14.188,61.637±5.699,0.4033,Whole,2024-11-01 04:46:32
PhysNet8TN_RLAP_PURE.h5,0.544±0.069,1.977±1.2,0.855±0.124,0.9963,Window,2024-11-01 04:49:02
PhysNet8TN_RLAP_PURE.h5,0.347±0.111,0.919±0.806,0.559±0.211,0.99925,Whole,2024-11-01 04:49:02
PhysNet8_RLAP_PURE.h5,49.708±0.756,53.91±7.812,84.11±1.711,0.14635,Window,2024-11-01 05:24:09
PhysNet8_RLAP_PURE.h5,49.523±2.328,52.652±14.049,83.744±5.51,0.26053,Whole,2024-11-01 05:24:09
PhysNet8_RLAP_PURE.h5,38.56±0.963,46.843±8.214,63.957±1.909,0.31151,Window,2024-11-01 05:27:07
PhysNet8_RLAP_PURE.h5,38.296±2.715,43.607±14.229,63.551±5.622,0.40355,Whole,2024-11-01 05:27:07
PhysNet8TN_RLAP_PURE.h5,0.647±0.103,2.912±1.884,1.078±0.197,0.99199,Window,2024-11-01 05:29:50
PhysNet8TN_RLAP_PURE.h5,0.466±0.149,1.238±1.009,0.794±0.29,0.99869,Whole,2024-11-01 05:29:50
PhysNet8TN_RLAP_UBFC.h5,1.196±0.085,2.277±1.042,1.235±0.094,0.99097,Window,2024-11-01 05:30:58
PhysNet8TN_RLAP_UBFC.h5,0.431±0.076,0.655±0.421,0.423±0.067,0.99933,Whole,2024-11-01 05:30:58
PhysNet4_RLAP_PURE.h5,4.921±0.621,17.831±7.492,5.263±0.541,0.68741,Window,2024-11-01 05:58:46
PhysNet4_RLAP_PURE.h5,4.511±1.657,13.506±9.876,4.548±1.309,0.83213,Whole,2024-11-01 05:58:46
PhysNet4_RLAP_UBFC.h5,6.429±0.731,17.883±7.068,6.477±0.711,0.67809,Window,2024-11-01 05:59:59
PhysNet4_RLAP_UBFC.h5,5.749±1.343,10.429±6.549,5.828±1.304,0.86611,Whole,2024-11-01 05:59:59
PhysNet4_RLAP_PURE.h5,42.818±0.878,49.199±7.926,70.181±1.757,0.32157,Window,2024-11-01 06:00:14
PhysNet4_RLAP_PURE.h5,42.445±2.786,47.533±14.357,69.451±5.583,0.37634,Whole,2024-11-01 06:00:14
PhysNet4_RLAP_UBFC.h5,6.387±0.721,17.659±7.013,6.463±0.705,0.68609,Window,2024-11-01 06:00:24
PhysNet4_RLAP_UBFC.h5,5.59±1.334,10.293±6.538,5.693±1.3,0.86832,Whole,2024-11-01 06:00:24
PhysNet4_RLAP_PURE.h5,5.055±0.626,18.017±7.491,5.371±0.547,0.68243,Window,2024-11-01 06:00:47
PhysNet4_RLAP_PURE.h5,4.55±1.656,13.51±9.874,4.593±1.305,0.83264,Whole,2024-11-01 06:00:47
PhysNet4_RLAP_UBFC.h5,6.439±0.734,17.955±7.112,6.485±0.713,0.67604,Window,2024-11-01 06:01:00
PhysNet4_RLAP_UBFC.h5,5.755±1.344,10.439±6.542,5.831±1.305,0.86573,Whole,2024-11-01 06:01:00
PhysNet4TN_RLAP_PURE.h5,7.934±0.681,20.405±6.763,15.536±1.361,0.68438,Window,2024-11-01 06:04:29
PhysNet4TN_RLAP_PURE.h5,7.516±1.573,14.232±7.649,14.789±3.179,0.84863,Whole,2024-11-01 06:04:29
PhysNet4TN_RLAP_PURE.h5,8.856±0.665,20.382±6.294,16.903±1.296,0.68836,Window,2024-11-01 06:05:00
PhysNet4TN_RLAP_PURE.h5,8.312±1.508,14.259±7.42,15.944±3.001,0.85994,Whole,2024-11-01 06:05:00
PhysNet4TN_RLAP_PURE.h5,12.753±0.839,26.437±7.519,24.756±1.649,0.5317,Window,2024-11-01 06:08:40
PhysNet4TN_RLAP_PURE.h5,12.466±2.182,20.889±10.05,24.208±4.418,0.69534,Whole,2024-11-01 06:08:40
PhysNet4TN_RLAP_PURE.h5,0.965±0.161,4.543±3.032,1.485±0.255,0.98032,Window,2024-11-01 06:31:09
PhysNet4TN_RLAP_PURE.h5,0.69±0.252,2.057±1.68,1.056±0.443,0.99624,Whole,2024-11-01 06:31:09
PhysNet4_RLAP_UBFC.h5,11.735±0.698,19.781±5.748,13.439±0.872,0.51368,Window,2024-11-01 06:40:55
PhysNet4_RLAP_UBFC.h5,9.448±2.044,16.272±9.38,11.15±2.77,0.57598,Whole,2024-11-01 06:40:55
PhysNet4_RLAP_PURE.h5,38.052±0.976,46.624±8.429,63.2±1.903,0.24566,Window,2024-11-01 06:41:07
PhysNet4_RLAP_PURE.h5,36.632±2.796,42.465±14.772,60.869±5.715,0.33639,Whole,2024-11-01 06:41:07
PhysNet8_RLAP_UBFC.h5,1.305±0.088,2.389±1.011,1.333±0.09,0.99015,Window,2024-11-01 06:43:50
PhysNet8_RLAP_UBFC.h5,0.505±0.085,0.748±0.452,0.508±0.079,0.99914,Whole,2024-11-01 06:43:50
PhysNet8_RLAP_PURE.h5,45.7±0.869,51.617±8.086,77.183±1.842,0.189,Window,2024-11-01 06:44:27
PhysNet8_RLAP_PURE.h5,45.477±2.483,49.315±14.365,76.734±5.625,0.29327,Whole,2024-11-01 06:44:27
PhysNet8_RLAP_PURE.h5,2.677±0.382,10.881±5.388,3.554±0.463,0.88362,Window,2024-11-01 06:45:05
PhysNet8_RLAP_PURE.h5,2.308±0.726,6.033±4.003,2.972±0.937,0.97043,Whole,2024-11-01 06:45:05
PhysNet8_RLAP_PURE.h5,37.359±0.98,46.13±8.453,62.649±1.943,0.27707,Window,2024-11-01 06:45:29
PhysNet8_RLAP_PURE.h5,36.649±2.721,42.191±14.476,61.552±5.7,0.38613,Whole,2024-11-01 06:45:29
PhysNet8_RLAP_PURE.h5,2.677±0.382,10.881±5.388,3.554±0.463,0.88362,Window,2024-11-01 06:46:06
PhysNet8_RLAP_PURE.h5,2.308±0.726,6.033±4.003,2.972±0.937,0.97043,Whole,2024-11-01 06:46:06
PhysNet8_RLAP_PURE.h5,45.7±0.869,51.617±8.086,77.183±1.842,0.189,Window,2024-11-01 06:47:16
PhysNet8_RLAP_PURE.h5,45.477±2.483,49.315±14.365,76.734±5.625,0.29327,Whole,2024-11-01 06:47:16
PhysNet8_RLAP_UBFC.h5,1.305±0.088,2.389±1.011,1.333±0.09,0.99015,Window,2024-11-01 06:47:56
PhysNet8_RLAP_UBFC.h5,0.505±0.085,0.748±0.452,0.508±0.079,0.99914,Whole,2024-11-01 06:47:56
PhysNet8_RLAP_COHFACE.h5,27.342±0.541,35.802±5.722,39.956±0.867,0.05825,Window,2024-11-01 06:50:27
PhysNet8_RLAP_COHFACE.h5,21.342±1.464,28.41±9.308,31.432±2.362,0.09152,Whole,2024-11-01 06:50:27
PhysNet8TN_RLAP_COHFACE.h5,4.619±0.249,11.598±3.232,5.951±0.303,0.5877,Window,2024-11-01 06:51:33
PhysNet8TN_RLAP_COHFACE.h5,3.946±0.561,8.193±4.148,5.021±0.651,0.7634,Whole,2024-11-01 06:51:33
PhysNet16_RLAP_MMPD.h5,16.537±0.209,24.263±3.482,18.737±0.221,0.22457,Window,2024-11-01 08:13:47
PhysNet16_RLAP_MMPD.h5,13.397±0.518,18.858±5.12,14.928±0.503,0.35534,Whole,2024-11-01 08:13:47
PhysNet16_RLAP_COHFACE.h5,13.488±0.397,21.676±4.629,19.405±0.608,0.19023,Window,2024-11-01 08:15:53
PhysNet16_RLAP_COHFACE.h5,9.432±0.653,12.606±4.444,13.901±0.983,0.37605,Whole,2024-11-01 08:15:53
PhysNet16_RLAP_PURE.h5,14.795±0.757,25.6±7.419,18.153±0.784,0.04352,Window,2024-11-01 08:16:01
PhysNet16_RLAP_PURE.h5,14.34±2.545,24.246±13.638,17.428±2.113,0.07519,Whole,2024-11-01 08:16:01
PhysNet16_RLAP_UBFC.h5,1.288±0.099,2.598±1.293,1.314±0.102,0.98835,Window,2024-11-01 08:16:48
PhysNet16_RLAP_UBFC.h5,0.626±0.127,1.033±0.637,0.629±0.128,0.9983,Whole,2024-11-01 08:16:48
PhysNet16TN_RLAP_MMPD.h5,11.228±0.185,19.31±3.152,12.691±0.2,0.37229,Window,2024-11-01 08:20:54
PhysNet16TN_RLAP_MMPD.h5,8.409±0.419,13.629±4.249,9.245±0.406,0.5945,Whole,2024-11-01 08:20:54
PhysNet16TN_RLAP_COHFACE.h5,3.317±0.182,8.439±2.639,4.505±0.235,0.74974,Window,2024-11-01 08:21:11
PhysNet16TN_RLAP_COHFACE.h5,2.267±0.36,5.143±2.81,3.005±0.447,0.89905,Whole,2024-11-01 08:21:11
PhysNet16TN_RLAP_PURE.h5,0.462±0.056,1.626±0.922,0.698±0.09,0.9975,Window,2024-11-01 08:21:18
PhysNet16TN_RLAP_PURE.h5,0.282±0.08,0.678±0.562,0.422±0.145,0.99959,Whole,2024-11-01 08:21:18
PhysNet16TN_RLAP_UBFC.h5,1.203±0.087,2.315±1.063,1.235±0.094,0.9907,Window,2024-11-01 08:21:23
PhysNet16TN_RLAP_UBFC.h5,0.468±0.079,0.693±0.432,0.452±0.071,0.99929,Whole,2024-11-01 08:21:23
PhysNet8_RLAP_MMPD.h5,23.976±0.25,32.028±3.949,29.561±0.336,0.05836,Window,2024-11-01 09:55:29
PhysNet8_RLAP_MMPD.h5,17.982±0.626,24.1±5.937,22.239±0.859,0.06629,Whole,2024-11-01 09:55:29
PhysNet8_RLAP_COHFACE.h5,28.691±0.545,36.955±5.822,42.366±0.889,-0.02505,Window,2024-11-01 09:56:01
PhysNet8_RLAP_COHFACE.h5,22.99±1.43,29.39±9.404,34.252±2.36,-0.02374,Whole,2024-11-01 09:56:01
PhysNet8_RLAP_PURE.h5,35.338±0.981,44.513±8.196,58.078±1.903,0.35713,Window,2024-11-01 09:56:13
PhysNet8_RLAP_PURE.h5,34.883±2.702,40.59±13.883,57.342±5.372,0.45847,Whole,2024-11-01 09:56:13
PhysNet8_RLAP_UBFC.h5,1.335±0.098,2.608±1.181,1.38±0.105,0.98822,Window,2024-11-01 09:56:22
PhysNet8_RLAP_UBFC.h5,0.554±0.107,0.888±0.582,0.563±0.11,0.9987,Whole,2024-11-01 09:56:22
PhysNet8TN_RLAP_MMPD.h5,11.479±0.188,19.65±3.189,13.377±0.223,0.38689,Window,2024-11-01 10:00:31
PhysNet8TN_RLAP_MMPD.h5,7.654±0.361,12.007±3.604,8.821±0.399,0.64995,Whole,2024-11-01 10:00:31
PhysNet8TN_RLAP_COHFACE.h5,4.621±0.247,11.525±3.216,5.936±0.296,0.59516,Window,2024-11-01 10:01:00
PhysNet8TN_RLAP_COHFACE.h5,3.95±0.543,8.0±4.039,4.993±0.623,0.7803,Whole,2024-11-01 10:01:00
PhysNet8TN_RLAP_PURE.h5,0.549±0.075,2.134±1.253,0.869±0.134,0.9957,Window,2024-11-01 10:01:12
PhysNet8TN_RLAP_PURE.h5,0.371±0.114,0.948±0.807,0.6±0.216,0.99921,Whole,2024-11-01 10:01:12
PhysNet8TN_RLAP_UBFC.h5,1.121±0.077,2.081±0.959,1.14±0.079,0.9925,Window,2024-11-01 10:01:20
PhysNet8TN_RLAP_UBFC.h5,0.428±0.083,0.688±0.436,0.429±0.083,0.99923,Whole,2024-11-01 10:01:20
PhysNet4_RLAP_MMPD.h5,32.862±0.232,38.299±4.026,40.875±0.323,-0.0725,Window,2024-11-01 11:33:57
PhysNet4_RLAP_MMPD.h5,26.65±0.677,31.79±6.58,33.184±0.95,-0.10338,Whole,2024-11-01 11:33:57
PhysNet4_RLAP_COHFACE.h5,36.433±0.501,42.257±5.724,53.662±0.85,0.06652,Window,2024-11-01 11:36:16
PhysNet4_RLAP_COHFACE.h5,31.548±1.482,36.818±9.79,46.729±2.498,0.085,Whole,2024-11-01 11:36:16
PhysNet4_RLAP_PURE.h5,31.396±0.979,41.425±8.082,48.745±1.721,0.392,Window,2024-11-01 11:36:27
PhysNet4_RLAP_PURE.h5,30.539±2.53,36.198±12.502,47.555±4.54,0.49533,Whole,2024-11-01 11:36:27
PhysNet4_RLAP_UBFC.h5,7.335±0.598,15.496±5.329,8.265±0.721,0.69339,Window,2024-11-01 11:36:35
PhysNet4_RLAP_UBFC.h5,5.181±1.344,10.133±6.978,6.107±1.726,0.81586,Whole,2024-11-01 11:36:35
PhysNet4TN_RLAP_MMPD.h5,13.709±0.2,21.854±3.334,16.018±0.24,0.31472,Window,2024-11-01 11:40:34
PhysNet4TN_RLAP_MMPD.h5,8.863±0.387,13.289±3.911,10.333±0.432,0.55604,Whole,2024-11-01 11:40:34
PhysNet4TN_RLAP_MMPD.h5,13.709±0.2,21.854±3.334,16.018±0.24,0.31472,Window,2024-11-01 11:42:30
PhysNet4TN_RLAP_MMPD.h5,8.863±0.387,13.289±3.911,10.333±0.432,0.55604,Whole,2024-11-01 11:42:30
PhysNet4TN_RLAP_PURE.h5,1.123±0.192,5.425±3.501,1.558±0.229,0.97165,Window,2024-11-01 11:42:42
PhysNet4TN_RLAP_PURE.h5,0.812±0.331,2.667±2.333,1.06±0.364,0.99365,Whole,2024-11-01 11:42:42
PhysNet4TN_RLAP_UBFC.h5,1.27±0.085,2.322±1.015,1.314±0.092,0.99059,Window,2024-11-01 11:42:50
PhysNet4TN_RLAP_UBFC.h5,0.49±0.089,0.758±0.451,0.498±0.088,0.99907,Whole,2024-11-01 11:42:50
PhysNet4TN_RLAP_COHFACE.h5,4.812±0.243,11.456±3.153,6.342±0.305,0.62505,Window,2024-11-01 17:15:23
PhysNet4TN_RLAP_COHFACE.h5,3.752±0.472,7.117±3.412,4.881±0.573,0.83391,Whole,2024-11-01 17:15:23
PhysNet_RLAP_MMPD.h5,14.352±0.197,22.039±3.295,16.55±0.223,0.1849,Window,2024-11-01 18:15:12
PhysNet_RLAP_MMPD.h5,11.38±0.474,16.646±4.5,12.905±0.505,0.32723,Whole,2024-11-01 18:15:12
PhysNet_RLAP_COHFACE.h5,12.897±0.325,18.953±4.042,18.553±0.477,0.09485,Window,2024-11-01 18:15:23
PhysNet_RLAP_COHFACE.h5,9.969±0.742,13.77±5.355,14.015±1.053,0.16259,Whole,2024-11-01 18:15:23
PhysNet_RLAP_PURE.h5,7.621±0.582,17.794±5.924,10.397±0.857,0.66256,Window,2024-11-01 18:15:27
PhysNet_RLAP_PURE.h5,6.489±1.468,13.013±7.589,8.618±2.074,0.83336,Whole,2024-11-01 18:15:27
PhysNet_RLAP_UBFC.h5,1.266±0.092,2.458±1.125,1.3±0.099,0.98964,Window,2024-11-01 18:15:30
PhysNet_RLAP_UBFC.h5,0.592±0.106,0.908±0.555,0.587±0.106,0.9988,Whole,2024-11-01 18:15:30
PhysNetTN_RLAP_MMPD.h5,11.394±0.184,19.363±3.114,12.643±0.193,0.35941,Window,2024-11-01 19:00:20
PhysNetTN_RLAP_MMPD.h5,9.201±0.445,14.641±4.308,9.962±0.432,0.56672,Whole,2024-11-01 19:00:20
PhysNetTN_RLAP_COHFACE.h5,3.089±0.165,7.681±2.446,4.202±0.211,0.78169,Window,2024-11-01 19:00:32
PhysNetTN_RLAP_COHFACE.h5,2.161±0.338,4.842±2.794,2.848±0.405,0.91142,Whole,2024-11-01 19:00:32
PhysNetTN_RLAP_PURE.h5,0.532±0.09,2.54±1.906,0.746±0.107,0.99386,Window,2024-11-01 19:00:37
PhysNetTN_RLAP_PURE.h5,0.344±0.127,1.035±0.822,0.472±0.183,0.99909,Whole,2024-11-01 19:00:37
PhysNetTN_RLAP_UBFC.h5,1.232±0.084,2.285±1.027,1.266±0.092,0.99093,Window,2024-11-01 19:00:41
PhysNetTN_RLAP_UBFC.h5,0.482±0.074,0.682±0.418,0.466±0.064,0.99931,Whole,2024-11-01 19:00:41
PhysNetTN_RLAP_MMPD.h5,10.994±0.182,18.999±3.11,12.163±0.189,0.37641,Window,2024-11-01 19:02:23
PhysNetTN_RLAP_MMPD.h5,8.883±0.44,14.342±4.305,9.594±0.419,0.58398,Whole,2024-11-01 19:02:23
PhysNet16_RLAP_MMPD.h5,17.841±0.207,25.044±3.441,20.588±0.233,0.17696,Window,2024-11-01 19:13:05
PhysNet16_RLAP_MMPD.h5,13.2±0.489,18.194±4.884,14.921±0.481,0.3239,Whole,2024-11-01 19:13:05
PhysNet16_RLAP_COHFACE.h5,11.251±0.299,17.011±3.719,15.492±0.423,0.16306,Window,2024-11-01 19:13:21
PhysNet16_RLAP_COHFACE.h5,9.135±0.633,12.209±4.252,12.444±0.799,0.29384,Whole,2024-11-01 19:13:21
PhysNet16_RLAP_PURE.h5,20.132±0.771,29.302±7.474,26.729±0.902,0.078,Window,2024-11-01 19:13:28
PhysNet16_RLAP_PURE.h5,18.292±2.346,25.678±12.729,24.023±2.072,0.11727,Whole,2024-11-01 19:13:28
PhysNet16_RLAP_UBFC.h5,1.274±0.091,2.436±1.263,1.298±0.093,0.98975,Window,2024-11-01 19:13:33
PhysNet16_RLAP_UBFC.h5,0.566±0.114,0.933±0.616,0.545±0.105,0.99864,Whole,2024-11-01 19:13:33
PhysNet16TN_RLAP_MMPD.h5,10.622±0.178,18.446±3.065,12.075±0.194,0.41298,Window,2024-11-01 19:16:38
PhysNet16TN_RLAP_MMPD.h5,7.758±0.39,12.647±4.051,8.585±0.38,0.64287,Whole,2024-11-01 19:16:38
PhysNet16TN_RLAP_COHFACE.h5,3.175±0.176,8.156±2.595,4.41±0.241,0.76589,Window,2024-11-01 19:16:54
PhysNet16TN_RLAP_COHFACE.h5,2.146±0.338,4.826±2.82,2.931±0.419,0.90764,Whole,2024-11-01 19:16:54
PhysNet16TN_RLAP_PURE.h5,0.514±0.064,1.848±1.034,0.791±0.109,0.99678,Window,2024-11-01 19:17:02
PhysNet16TN_RLAP_PURE.h5,0.322±0.11,0.903±0.816,0.503±0.208,0.99928,Whole,2024-11-01 19:17:02
PhysNet16TN_RLAP_UBFC.h5,1.194±0.088,2.337±1.077,1.219±0.094,0.99053,Window,2024-11-01 19:17:07
PhysNet16TN_RLAP_UBFC.h5,0.473±0.083,0.716±0.44,0.459±0.076,0.99923,Whole,2024-11-01 19:17:07
PhysNet16TN_RLAP_MMPD.h5,11.171±0.182,19.066±3.119,12.759±0.201,0.38219,Window,2024-11-01 19:17:59
PhysNet16TN_RLAP_MMPD.h5,8.173±0.398,13.071±4.09,9.119±0.396,0.60923,Whole,2024-11-01 19:17:59
PhysNet16TN_RLAP_MMPD.h5,10.622±0.178,18.446±3.065,12.075±0.194,0.41298,Window,2024-11-01 19:19:19
PhysNet16TN_RLAP_MMPD.h5,7.758±0.39,12.647±4.051,8.585±0.38,0.64287,Whole,2024-11-01 19:19:19
PhysNet4_RLAP_MMPD.h5,26.969±0.243,33.954±3.986,31.605±0.279,0.07803,Window,2024-11-01 23:40:52
PhysNet4_RLAP_MMPD.h5,21.362±0.621,26.636±5.983,24.694±0.68,0.10487,Whole,2024-11-01 23:40:52
PhysNet4_RLAP_COHFACE.h5,33.072±0.516,39.751±5.729,48.462±0.856,0.12943,Window,2024-11-01 23:41:22
PhysNet4_RLAP_COHFACE.h5,25.877±1.416,31.598±9.272,38.416±2.343,0.178,Whole,2024-11-01 23:41:22
PhysNet4_RLAP_PURE.h5,26.47±0.976,37.775±7.917,40.013±1.596,0.41247,Window,2024-11-01 23:41:34
PhysNet4_RLAP_PURE.h5,25.875±2.51,32.267±12.176,39.16±4.08,0.52271,Whole,2024-11-01 23:41:34
PhysNet4_RLAP_UBFC.h5,2.978±0.356,8.662±4.466,3.054±0.356,0.8824,Window,2024-11-01 23:41:42
PhysNet4_RLAP_UBFC.h5,1.924±0.417,3.318±1.964,1.962±0.439,0.97981,Whole,2024-11-01 23:41:42
PhysNet4TN_RLAP_MMPD.h5,13.054±0.196,21.168±3.297,15.185±0.231,0.31416,Window,2024-11-01 23:45:47
PhysNet4TN_RLAP_MMPD.h5,8.885±0.401,13.582±4.043,10.195±0.432,0.54862,Whole,2024-11-01 23:45:47
PhysNet4TN_RLAP_COHFACE.h5,4.924±0.255,11.942±3.278,6.368±0.309,0.57519,Window,2024-11-01 23:46:17
PhysNet4TN_RLAP_COHFACE.h5,4.053±0.561,8.254±4.225,5.144±0.649,0.76454,Whole,2024-11-01 23:46:17
PhysNet4TN_RLAP_PURE.h5,0.947±0.159,4.495±2.974,1.446±0.25,0.9808,Window,2024-11-01 23:46:29
PhysNet4TN_RLAP_PURE.h5,0.681±0.19,1.612±1.112,1.025±0.299,0.99777,Whole,2024-11-01 23:46:29
PhysNet4TN_RLAP_UBFC.h5,1.257±0.09,2.406±1.087,1.298±0.097,0.98995,Window,2024-11-01 23:46:38
PhysNet4TN_RLAP_UBFC.h5,0.468±0.081,0.703±0.431,0.46±0.074,0.99927,Whole,2024-11-01 23:46:38
PhysNet8_RLAP_MMPD.h5,25.569±0.251,33.315±3.967,32.376±0.358,-0.01142,Window,2024-11-01 23:51:09
PhysNet8_RLAP_MMPD.h5,20.22±0.692,26.887±6.329,25.871±1.039,-0.03466,Whole,2024-11-01 23:51:09
PhysNet8_RLAP_COHFACE.h5,30.821±0.54,38.511±5.79,45.427±0.877,0.03675,Window,2024-11-01 23:51:37
PhysNet8_RLAP_COHFACE.h5,26.518±1.603,33.533±9.973,39.284±2.627,0.05525,Whole,2024-11-01 23:51:37
PhysNet8_RLAP_PURE.h5,48.438±0.796,53.192±7.924,81.933±1.766,0.15982,Window,2024-11-01 23:51:50
PhysNet8_RLAP_PURE.h5,48.377±2.578,52.273±14.545,81.849±5.897,0.20343,Whole,2024-11-01 23:51:50
PhysNet8_RLAP_UBFC.h5,1.305±0.086,2.362±1.008,1.336±0.09,0.99032,Window,2024-11-01 23:51:59
PhysNet8_RLAP_UBFC.h5,0.544±0.09,0.799±0.463,0.541±0.082,0.99894,Whole,2024-11-01 23:51:59
PhysNet8_RLAP_PURE.h5,2.745±0.376,10.725±5.238,3.75±0.509,0.88926,Window,2024-11-02 00:18:10
PhysNet8_RLAP_PURE.h5,2.114±0.559,4.784±3.076,2.873±0.737,0.98237,Whole,2024-11-02 00:18:10
PhysNet8_RLAP_PURE.h5,48.438±0.796,53.192±7.924,81.933±1.766,0.15982,Window,2024-11-02 00:18:40
PhysNet8_RLAP_PURE.h5,48.377±2.578,52.273±14.545,81.849±5.897,0.20343,Whole,2024-11-02 00:18:40
PhysNet8_RLAP_PURE.h5,48.982±0.784,53.545±7.892,82.965±1.753,0.1455,Window,2024-11-02 00:21:51
PhysNet8_RLAP_PURE.h5,48.925±2.526,52.634±14.502,82.909±5.855,0.19348,Whole,2024-11-02 00:21:51
PhysNet8_RLAP_PURE.h5,46.711±0.857,52.359±8.136,77.804±1.824,-0.00839,Window,2024-11-02 00:22:08
PhysNet8_RLAP_PURE.h5,45.847±2.267,49.042±14.157,76.629±5.557,-0.01341,Whole,2024-11-02 00:22:08
PhysNet16_RLAP_MMPD.h5,17.489±0.205,24.685±3.416,20.159±0.231,0.19348,Window,2024-11-02 00:30:57
PhysNet16_RLAP_MMPD.h5,13.15±0.496,18.286±4.978,14.904±0.5,0.32882,Whole,2024-11-02 00:30:57
PhysNet16_RLAP_COHFACE.h5,14.737±0.393,22.34±4.622,20.684±0.596,0.24,Window,2024-11-02 00:31:13
PhysNet16_RLAP_COHFACE.h5,10.231±0.755,14.08±5.11,14.713±1.136,0.39834,Whole,2024-11-02 00:31:13
PhysNet16_RLAP_PURE.h5,18.634±0.762,28.097±7.579,24.881±0.913,-0.10053,Window,2024-11-02 00:31:21
PhysNet16_RLAP_PURE.h5,18.184±2.43,26.058±13.425,24.242±2.357,-0.17763,Whole,2024-11-02 00:31:21
PhysNet16_RLAP_UBFC.h5,1.334±0.104,2.726±1.358,1.371±0.109,0.98713,Window,2024-11-02 00:31:26
PhysNet16_RLAP_UBFC.h5,0.58±0.122,0.98±0.639,0.576±0.122,0.99843,Whole,2024-11-02 00:31:26
PhysNet16TN_RLAP_MMPD.h5,10.798±0.18,18.696±3.094,12.224±0.195,0.40088,Window,2024-11-02 00:35:13
PhysNet16TN_RLAP_MMPD.h5,7.806±0.397,12.827±4.109,8.581±0.385,0.63529,Whole,2024-11-02 00:35:13
PhysNet16TN_RLAP_COHFACE.h5,2.987±0.168,7.774±2.507,4.082±0.222,0.78666,Window,2024-11-02 00:35:29
PhysNet16TN_RLAP_COHFACE.h5,2.048±0.313,4.499±2.514,2.758±0.39,0.92405,Whole,2024-11-02 00:35:29
PhysNet16TN_RLAP_PURE.h5,0.472±0.06,1.724±1.002,0.733±0.105,0.9972,Window,2024-11-02 00:35:37
PhysNet16TN_RLAP_PURE.h5,0.286±0.108,0.875±0.805,0.458±0.205,0.99933,Whole,2024-11-02 00:35:37
PhysNet16TN_RLAP_UBFC.h5,1.211±0.09,2.382±1.098,1.237±0.096,0.99014,Window,2024-11-02 00:35:42
PhysNet16TN_RLAP_UBFC.h5,0.468±0.085,0.725±0.448,0.454±0.078,0.9992,Whole,2024-11-02 00:35:42
