,MAE,RMSE,MAPE,R,Type,Time
TSCAN_MMPD_RLAP.h5,11.597±0.193,17.951±3.135,15.333±0.274,0.20103,Window,2024-10-13 10:15:00
TSCAN_MMPD_RLAP.h5,7.154±0.463,9.918±3.457,9.288±0.602,0.46097,Whole,2024-10-13 10:15:00
TSCAN_MMPD_COHFACE.h5,13.199±0.368,20.54±4.54,19.884±0.597,0.12147,Window,2024-10-13 10:16:14
TSCAN_MMPD_COHFACE.h5,9.34±0.686,12.818±4.899,14.52±1.194,0.28744,Whole,2024-10-13 10:16:14
TSCAN_MMPD_PURE.h5,15.15±0.73,25.213±7.229,21.371±0.943,0.25303,Window,2024-10-13 10:16:34
TSCAN_MMPD_PURE.h5,12.879±2.063,20.42±11.414,18.113±2.229,0.45387,Whole,2024-10-13 10:16:34
TSCAN_MMPD_UBFC.h5,10.151±0.725,19.412±6.26,10.274±0.702,0.6047,Window,2024-10-13 10:16:49
TSCAN_MMPD_UBFC.h5,8.764±1.472,12.952±6.721,8.712±1.426,0.79557,Whole,2024-10-13 10:16:49
TSCANtn_RLAP_MMPD.h5,14.225±0.22,23.49±3.584,16.564±0.257,0.35368,Window,2024-10-13 10:25:18
TSCANtn_RLAP_MMPD.h5,9.127±0.426,14.231±4.17,10.359±0.452,0.5832,Whole,2024-10-13 10:25:18
TSCANtn_RLAP_COHFACE.h5,3.253±0.2,9.162±3.02,4.357±0.253,0.73401,Window,2024-10-13 10:25:28
TSCANtn_RLAP_COHFACE.h5,2.536±0.433,6.095±3.814,3.33±0.507,0.85988,Whole,2024-10-13 10:25:28
TSCANtn_RLAP_PURE.h5,0.548±0.056,1.646±0.932,0.825±0.09,0.99744,Window,2024-10-13 10:25:33
TSCANtn_RLAP_PURE.h5,0.281±0.087,0.728±0.626,0.423±0.159,0.99951,Whole,2024-10-13 10:25:33
TSCANtn_RLAP_UBFC.h5,1.306±0.095,2.522±1.156,1.329±0.096,0.98905,Window,2024-10-13 10:25:37
TSCANtn_RLAP_UBFC.h5,0.561±0.089,0.806±0.466,0.566±0.086,0.99906,Whole,2024-10-13 10:25:37
TSCANtn_MMPD_RLAP.h5,2.797±0.111,8.374±2.29,3.725±0.155,0.75778,Window,2024-10-13 10:29:42
TSCANtn_MMPD_RLAP.h5,1.401±0.159,2.74±1.274,1.841±0.206,0.96473,Whole,2024-10-13 10:29:42
TSCANtn_MMPD_COHFACE.h5,6.011±0.272,13.104±3.598,8.209±0.367,0.54373,Window,2024-10-13 10:29:53
TSCANtn_MMPD_COHFACE.h5,4.253±0.482,7.496±3.61,5.734±0.606,0.78313,Whole,2024-10-13 10:29:53
TSCANtn_MMPD_PURE.h5,1.792±0.235,6.738±3.603,2.732±0.363,0.95669,Window,2024-10-13 10:29:57
TSCANtn_MMPD_PURE.h5,1.078±0.393,3.204±2.561,1.565±0.644,0.99047,Whole,2024-10-13 10:29:57
TSCANtn_MMPD_UBFC.h5,1.387±0.092,2.525±1.102,1.435±0.096,0.98891,Window,2024-10-13 10:30:00
TSCANtn_MMPD_UBFC.h5,0.519±0.081,0.741±0.43,0.53±0.078,0.99911,Whole,2024-10-13 10:30:00
PhysNet_RLAP_MMPD.h5,13.709±0.192,21.278±3.216,15.38±0.203,0.23003,Window,2024-10-13 10:36:24
PhysNet_RLAP_MMPD.h5,11.175±0.47,16.416±4.579,12.251±0.458,0.41818,Whole,2024-10-13 10:36:24
PhysNet_RLAP_COHFACE.h5,9.686±0.26,14.747±3.14,14.256±0.399,0.29315,Window,2024-10-13 10:36:34
PhysNet_RLAP_COHFACE.h5,7.38±0.468,9.51±3.277,10.813±0.71,0.55902,Whole,2024-10-13 10:36:34
PhysNet_RLAP_PURE.h5,5.984±0.575,16.966±6.401,7.453±0.7,0.68782,Window,2024-10-13 10:36:39
PhysNet_RLAP_PURE.h5,5.145±1.563,13.064±8.81,6.216±1.671,0.83927,Whole,2024-10-13 10:36:39
PhysNet_RLAP_UBFC.h5,1.332±0.104,2.713±1.309,1.371±0.11,0.9874,Window,2024-10-13 10:36:42
PhysNet_RLAP_UBFC.h5,0.655±0.123,1.034±0.618,0.654±0.124,0.99842,Whole,2024-10-13 10:36:42
PhysNetTN_RLAP_MMPD.h5,11.452±0.184,19.361±3.109,12.639±0.19,0.36556,Window,2024-10-13 10:43:37
PhysNetTN_RLAP_MMPD.h5,9.386±0.448,14.817±4.324,10.115±0.429,0.5658,Whole,2024-10-13 10:43:37
PhysNetTN_RLAP_COHFACE.h5,3.166±0.174,8.071±2.548,4.277±0.224,0.76081,Window,2024-10-13 10:43:48
PhysNetTN_RLAP_COHFACE.h5,2.24±0.372,5.262±2.975,2.94±0.455,0.89269,Whole,2024-10-13 10:43:48
PhysNetTN_RLAP_PURE.h5,0.525±0.089,2.513±1.836,0.769±0.118,0.99399,Window,2024-10-13 10:43:53
PhysNetTN_RLAP_PURE.h5,0.363±0.144,1.165±0.948,0.525±0.232,0.9988,Whole,2024-10-13 10:43:53
PhysNetTN_RLAP_UBFC.h5,1.24±0.086,2.329±1.046,1.272±0.091,0.9906,Window,2024-10-13 10:43:57
PhysNetTN_RLAP_UBFC.h5,0.535±0.088,0.784±0.46,0.539±0.088,0.99901,Whole,2024-10-13 10:43:57
PhysNetTN_MMPD_RLAP.h5,2.446±0.087,6.677±1.789,3.41±0.141,0.81754,Window,2024-10-13 10:47:06
PhysNetTN_MMPD_RLAP.h5,1.32±0.159,2.7±1.36,1.817±0.235,0.96856,Whole,2024-10-13 10:47:06
PhysNetTN_MMPD_COHFACE.h5,3.025±0.153,7.205±2.291,4.446±0.239,0.81423,Window,2024-10-13 10:47:18
PhysNetTN_MMPD_COHFACE.h5,2.042±0.228,3.563±1.71,3.032±0.35,0.95539,Whole,2024-10-13 10:47:18
PhysNetTN_MMPD_PURE.h5,4.275±0.454,13.235±4.898,6.79±0.761,0.82397,Window,2024-10-13 10:47:23
PhysNetTN_MMPD_PURE.h5,3.93±0.984,8.522±5.127,6.21±1.618,0.93964,Whole,2024-10-13 10:47:23
PhysNetTN_MMPD_UBFC.h5,1.648±0.163,4.067±2.391,1.663±0.154,0.97128,Window,2024-10-13 10:47:27
PhysNetTN_MMPD_UBFC.h5,0.879±0.205,1.592±1.089,0.86±0.194,0.99616,Whole,2024-10-13 10:47:27
PhysNet_MMPD_RLAP.h5,17.027±0.189,21.712±3.036,22.756±0.266,0.06731,Window,2024-10-13 10:50:20
PhysNet_MMPD_RLAP.h5,8.738±0.476,11.234±3.637,11.665±0.655,0.18611,Whole,2024-10-13 10:50:20
PhysNet_MMPD_COHFACE.h5,19.227±0.357,24.556±4.471,28.446±0.569,0.0334,Window,2024-10-13 10:50:31
PhysNet_MMPD_COHFACE.h5,11.88±0.714,14.988±4.766,17.725±1.164,0.06158,Whole,2024-10-13 10:50:31
PhysNet_MMPD_PURE.h5,22.883±0.677,29.539±6.678,35.565±1.145,0.17901,Window,2024-10-13 10:50:35
PhysNet_MMPD_PURE.h5,18.465±1.682,22.535±8.565,28.69±2.748,0.40712,Whole,2024-10-13 10:50:35
PhysNet_MMPD_UBFC.h5,17.971±0.907,27.419±7.439,17.491±0.838,0.25252,Window,2024-10-13 10:50:38
PhysNet_MMPD_UBFC.h5,15.093±2.068,20.184±9.629,14.414±1.76,0.48952,Whole,2024-10-13 10:50:38
EfficientPhys_RLAP_MMPD.h5,13.092±0.188,20.639±3.146,15.353±0.226,0.32944,Window,2024-10-13 11:17:28
EfficientPhys_RLAP_MMPD.h5,9.197±0.398,13.73±3.809,10.673±0.464,0.55501,Whole,2024-10-13 11:17:28
EfficientPhys_RLAP_COHFACE.h5,5.504±0.223,11.015±2.908,7.863±0.327,0.58615,Window,2024-10-13 11:20:09
EfficientPhys_RLAP_COHFACE.h5,4.243±0.431,6.962±3.02,6.064±0.624,0.79246,Whole,2024-10-13 11:20:09
EfficientPhys_RLAP_PURE.h5,3.011±0.354,10.234±4.309,4.95±0.613,0.90008,Window,2024-10-13 11:20:44
EfficientPhys_RLAP_PURE.h5,2.483±0.636,5.481±3.64,4.161±1.06,0.9747,Whole,2024-10-13 11:20:44
EfficientPhys_RLAP_UBFC.h5,1.682±0.184,4.515±3.088,1.716±0.163,0.96434,Window,2024-10-13 11:21:11
EfficientPhys_RLAP_UBFC.h5,0.812±0.232,1.707±1.481,0.813±0.217,0.99498,Whole,2024-10-13 11:21:11
EfficientPhystn_RLAP_MMPD.h5,16.331±0.237,25.917±3.801,18.944±0.273,0.2644,Window,2024-10-13 11:49:18
EfficientPhystn_RLAP_MMPD.h5,10.677±0.491,16.489±4.862,12.045±0.51,0.45897,Whole,2024-10-13 11:49:18
EfficientPhystn_RLAP_COHFACE.h5,3.478±0.201,9.249±2.917,4.693±0.256,0.72343,Window,2024-10-13 11:49:44
EfficientPhystn_RLAP_COHFACE.h5,2.764±0.411,5.94±3.546,3.676±0.487,0.87035,Whole,2024-10-13 11:49:44
EfficientPhystn_RLAP_PURE.h5,0.623±0.056,1.674±0.873,0.926±0.086,0.99734,Window,2024-10-13 11:49:53
EfficientPhystn_RLAP_PURE.h5,0.248±0.042,0.409±0.238,0.334±0.048,0.99984,Whole,2024-10-13 11:49:53
EfficientPhystn_RLAP_UBFC.h5,1.377±0.096,2.586±1.159,1.415±0.101,0.98858,Window,2024-10-13 11:49:59
EfficientPhystn_RLAP_UBFC.h5,0.571±0.106,0.893±0.549,0.597±0.119,0.99883,Whole,2024-10-13 11:49:59
EfficientPhystn_MMPD_RLAP.h5,4.425±0.149,11.48±2.777,5.849±0.206,0.61029,Window,2024-10-13 12:01:00
EfficientPhystn_MMPD_RLAP.h5,2.379±0.254,4.45±2.064,3.119±0.336,0.90447,Whole,2024-10-13 12:01:00
EfficientPhystn_MMPD_COHFACE.h5,8.28±0.336,16.565±4.206,11.396±0.466,0.37182,Window,2024-10-13 12:01:28
EfficientPhystn_MMPD_COHFACE.h5,5.716±0.61,9.684±4.57,7.731±0.763,0.62398,Whole,2024-10-13 12:01:28
EfficientPhystn_MMPD_PURE.h5,5.441±0.553,16.194±6.444,7.343±0.715,0.74811,Window,2024-10-13 12:01:37
EfficientPhystn_MMPD_PURE.h5,3.864±1.06,9.01±6.083,5.005±1.245,0.92647,Whole,2024-10-13 12:01:37
EfficientPhystn_MMPD_UBFC.h5,1.91±0.169,4.309±2.379,2.022±0.19,0.96835,Window,2024-10-13 12:01:43
EfficientPhystn_MMPD_UBFC.h5,0.9±0.23,1.738±1.403,0.962±0.263,0.99458,Whole,2024-10-13 12:01:43
EfficientPhys_MMPD_RLAP.h5,10.13±0.185,16.621±2.97,13.533±0.27,0.28803,Window,2024-10-13 12:14:25
EfficientPhys_MMPD_RLAP.h5,5.386±0.368,7.665±2.925,7.263±0.549,0.65762,Whole,2024-10-13 12:14:25
EfficientPhys_MMPD_COHFACE.h5,12.488±0.33,18.836±4.183,18.647±0.533,0.19854,Window,2024-10-13 12:17:53
EfficientPhys_MMPD_COHFACE.h5,9.028±0.581,11.703±4.156,13.837±1.031,0.43101,Whole,2024-10-13 12:17:53
EfficientPhys_MMPD_PURE.h5,13.647±0.669,22.969±6.392,20.745±1.047,0.43199,Window,2024-10-13 12:18:37
EfficientPhys_MMPD_PURE.h5,11.65±1.716,17.592±9.097,17.75±2.432,0.67138,Whole,2024-10-13 12:18:37
EfficientPhys_MMPD_UBFC.h5,7.634±0.58,15.273±5.356,7.653±0.559,0.70582,Window,2024-10-13 12:19:12
EfficientPhys_MMPD_UBFC.h5,6.788±1.253,10.586±6.12,6.825±1.194,0.84838,Whole,2024-10-13 12:19:12
PhysFormer_RLAP_MMPD.h5,15.269±0.211,23.55±3.501,17.022±0.225,0.19129,Window,2024-10-13 14:31:00
PhysFormer_RLAP_MMPD.h5,12.822±0.54,18.856±5.262,14.115±0.532,0.28229,Whole,2024-10-13 14:31:00
PhysFormer_RLAP_COHFACE.h5,10.057±0.295,16.135±3.482,13.558±0.382,0.21363,Window,2024-10-13 14:33:13
PhysFormer_RLAP_COHFACE.h5,7.767±0.699,11.848±4.695,10.088±0.809,0.42397,Whole,2024-10-13 14:33:13
PhysFormer_RLAP_PURE.h5,7.046±0.557,16.924±5.715,11.119±0.931,0.70209,Window,2024-10-13 14:34:36
PhysFormer_RLAP_PURE.h5,6.06±1.406,12.384±7.726,9.518±2.333,0.85344,Whole,2024-10-13 14:34:36
PhysFormer_RLAP_UBFC.h5,1.254±0.09,2.401±1.046,1.293±0.098,0.98996,Window,2024-10-13 14:35:32
PhysFormer_RLAP_UBFC.h5,0.503±0.085,0.745±0.447,0.499±0.077,0.99912,Whole,2024-10-13 14:35:32
PhysFormer_MMPD_RLAP.h5,5.253±0.106,10.472±2.119,6.371±0.144,0.80564,Window,2024-10-13 17:47:29
PhysFormer_MMPD_RLAP.h5,3.536±0.224,6.746±2.464,4.176±0.274,0.90357,Whole,2024-10-13 17:47:29
PhysFormer_MMPD_COHFACE.h5,11.419±0.243,15.445±2.915,16.791±0.378,0.22748,Window,2024-10-13 17:48:07
PhysFormer_MMPD_COHFACE.h5,8.445±0.504,10.625±3.566,12.677±0.861,0.43844,Whole,2024-10-13 17:48:07
PhysFormer_MMPD_PURE.h5,17.71±0.663,25.467±6.134,29.929±1.178,0.44946,Window,2024-10-13 17:48:23
PhysFormer_MMPD_PURE.h5,16.947±1.749,21.627±8.447,28.861±3.387,0.64177,Whole,2024-10-13 17:48:23
PhysFormer_MMPD_UBFC.h5,3.29±0.401,9.736±4.683,3.163±0.355,0.84839,Window,2024-10-13 17:48:34
PhysFormer_MMPD_UBFC.h5,2.577±0.935,6.587±5.138,2.497±0.859,0.92607,Whole,2024-10-13 17:48:34
PhysFormertn_MMPD_RLAP.h5,3.784±0.096,9.004±2.114,4.669±0.132,0.85546,Window,2024-10-15 20:52:58
PhysFormertn_MMPD_RLAP.h5,2.325±0.183,5.239±2.158,2.813±0.237,0.94162,Whole,2024-10-15 20:52:58
PhysFormertn_MMPD_COHFACE.h5,5.349±0.211,10.496±2.72,7.284±0.275,0.59742,Window,2024-10-15 20:54:26
PhysFormertn_MMPD_COHFACE.h5,3.873±0.455,6.995±3.245,5.104±0.552,0.81486,Whole,2024-10-15 20:54:26
PhysFormertn_MMPD_PURE.h5,4.716±0.528,15.331±6.488,8.451±0.984,0.81113,Window,2024-10-15 20:54:43
PhysFormertn_MMPD_PURE.h5,3.976±1.087,9.247±5.695,7.171±2.162,0.92852,Whole,2024-10-15 20:54:43
PhysFormertn_MMPD_UBFC.h5,1.396±0.108,2.83±1.494,1.44±0.113,0.98596,Window,2024-10-15 20:54:58
PhysFormertn_MMPD_UBFC.h5,0.545±0.105,0.872±0.529,0.535±0.097,0.99884,Whole,2024-10-15 20:54:58
PhysFormertn_RLAP_MMPD.h5,11.201±0.196,20.061±3.455,12.796±0.225,0.37795,Window,2024-10-15 23:29:24
PhysFormertn_RLAP_MMPD.h5,8.136±0.407,13.229±4.132,9.179±0.437,0.5856,Whole,2024-10-15 23:29:24
